user_id,distinct_umid_cnt_14d,distinct_login_cnt_14d,distinct_ipisp_cnt_14d
400230591806,2,27,3
400168341368,2,12,1
400117713022,2,27,2
400164003095,2,29,2
400195560304,2,8,3
400222251215,2,13,2
400165221785,2,24,1
400221864092,2,17,2
400086033403,2,19,1
400091292457,2,31,3
400178268895,2,15,3
400386042736,2,14,2
400215876519,2,11,1
400130733389,2,22,3
400371726630,2,21,2
400111005498,2,24,2
410436300756,2,12,1
400045497764,2,17,2
400035252678,2,21,1
400096254870,2,9,2
400266189869,2,22,2
400197699075,2,22,4
400114275785,2,18,3
400177542288,2,18,1
400010950314,2,12,2
400142649512,2,17,2
410467557003,2,15,3
400049568972,2,27,1
400156704941,2,16,1
400146861435,2,22,2
400231992964,2,21,1
400158186598,2,22,1
400628682510,2,26,1
400136448892,2,31,1
400131657835,2,22,2
400074006538,2,6,1
400149267324,2,10,2
400364145659,2,18,1
400034976195,2,10,3
400297395034,2,24,1
410469417880,2,25,3
400272873303,2,17,2
400355343135,2,30,1
400134453193,2,19,2
7184461,2,2,1
400217193527,2,6,1
400248708125,2,22,2
400263441780,2,31,3
400011420704,2,20,2
410409513079,2,23,3
16799631,2,27,2
400332864679,2,13,1
400098942652,2,9,3
400127589131,2,15,2
400057230870,2,28,2
400213989440,2,9,3
11189887,2,16,3
17127527,2,10,3
400021514180,2,16,3
400122138259,2,13,1
400018446086,2,21,2
400162929645,2,11,2
802740,2,31,2
400358490974,2,23,1
400073442352,2,25,1
400272627877,2,19,2
410414589893,2,18,1
400244697585,2,20,1
400330644078,2,13,2
400302729245,2,15,3
400294266111,2,14,1
400068615178,2,29,2
400279983316,2,16,3
400149105827,2,4,1
400199400812,2,10,1
400171383031,2,10,1
400245186898,2,16,1
400133493721,2,20,1
410437101379,2,26,1
400228809236,2,10,2
400198266926,2,5,3
400257522353,2,16,3
400240995942,2,17,1
400256310223,2,19,3
410409567728,2,22,2
400292343530,2,23,2
400369743288,2,16,1
13078571,2,21,3
410457324171,2,9,2
400106520804,2,18,3
400167045072,2,9,1
400343841487,2,28,3
400193442228,2,27,2
400146276826,2,13,1
400015706578,2,26,2
400337481233,2,14,2
25903463,2,17,1
400151409372,2,20,2
400301217758,2,38,1
400144398704,2,16,2
400045191804,2,18,3
400130571462,2,13,1
400107693886,2,17,2
410427495121,2,7,2
3854032,2,19,2
400306089935,2,20,2
400265958567,2,23,2
400340907321,2,22,1
400257135471,2,19,2
400358595378,2,11,1
400247193011,2,22,1
400133898548,2,9,1
400155423337,2,31,1
400149372952,2,17,1
14187943,2,3,2
400136226910,2,23,1
410451438198,2,25,1
400042023558,2,15,1
400011480194,2,20,3
400283127294,2,5,1
400352511240,2,14,2
4343702,2,10,2
400341306843,2,15,1
400161990797,2,32,1
400237962167,2,11,2
400225059299,2,13,2
400054602297,2,18,2
400176447641,2,17,2
400354734724,2,17,2
400348260483,2,6,2
853700,2,27,1
400361232810,2,19,2
400275114724,2,21,3
400067925930,2,29,2
400337244560,2,24,2
400318590615,2,20,1
400089372843,2,16,1
400017492489,2,14,2
410416824153,2,10,1
400039932696,2,17,2
400147677187,2,5,1
400260603467,2,26,1
400076385421,2,23,2
513452,2,21,2
400138053096,2,15,4
400128642868,2,22,1
400071435295,2,21,2
400180038864,2,15,3
400146693023,2,15,1
400136475500,2,13,1
12773856,2,37,3
400348149536,2,9,1
400089660341,2,17,1
400137969265,2,5,1
4428009,2,21,3
400236075496,2,23,2
400120653400,2,20,1
400154625884,2,26,2
400315572473,2,14,1
400010174843,2,23,2
400149744713,2,25,2
400144488786,2,16,1
400266012662,2,20,1
400356273912,2,15,2
400032674692,2,20,1
400180674918,2,16,2
400108659324,2,25,2
400070532940,2,10,3
400347081530,2,7,2
400033816064,2,18,1
400057683751,2,8,3
400311915329,2,35,1
400183008129,2,28,1
400026134072,2,27,2
410414619545,2,13,1
400227441482,2,14,2
15389982,2,18,3
400248081499,2,16,1
410406633265,2,29,2
400175568581,2,11,1
400076139243,2,31,1
400252380437,2,15,2
400284546271,2,28,3
400227255380,2,31,1
400253544171,2,22,3
400182813583,2,14,3
400161609010,2,10,1
400057104212,2,12,1
18098864,2,16,3
400250091912,2,20,1
400240773477,2,19,1
400384611453,2,19,3
400188012094,2,13,3
400391139674,2,15,3
400151421548,2,25,2
400235943015,2,17,2
400020068761,2,22,2
400240872023,2,12,1
400155924861,2,14,1
400024860399,2,11,1
400199484464,2,14,1
400106262629,2,19,2
400103739575,2,29,2
400352232512,2,17,2
400200510451,2,14,3
400279884175,2,12,1
400216800549,2,13,1
400134741945,2,22,2
400115931986,2,18,2
400173705412,2,16,1
400185531033,2,14,5
400170984625,2,3,1
400282920804,2,17,1
14846529,2,12,2
400247859251,2,29,2
400272189087,2,9,1
410424462717,2,15,3
400101450144,2,13,2
400395399337,2,2,2
400262280504,2,11,1
400330656537,2,7,3
400147896929,2,23,1
400078305389,2,13,2
400115742478,2,14,1
2571470,2,12,2
400287708982,2,17,1
400290714359,2,17,3
17220633,2,63,2
400219980807,2,16,3
400246524089,2,5,2
410415696293,2,21,1
400636926520,2,19,1
400287591970,2,3,2
400161225058,2,26,3
400374063451,2,8,1
400129821707,2,34,1
2981910,2,10,2
400250886356,2,24,1
400300242338,2,21,1
410421180297,2,15,1
410439021386,2,13,1
400106274007,2,25,1
400383615848,2,17,2
400371930904,2,10,1
400139256359,2,18,2
410470653272,2,8,1
400251381529,2,20,1
400372116560,2,46,3
400027818585,2,19,2
400020308531,2,14,2
400293789412,2,8,1
410403396377,2,20,2
400042614605,2,19,2
400632942925,2,16,5
400020922332,2,29,2
400108212665,2,16,2
400319676993,2,3,1
400249995835,2,18,2
400172040996,2,14,3
400347780890,2,15,1
400336851016,2,15,1
400052778388,2,28,2
400186710006,2,26,2
400197945778,2,17,1
400148859092,2,17,2
400196607503,2,6,1
400184943029,2,25,1
400387437601,2,34,2
400010710066,2,34,2
400119426251,2,19,2
400094043166,2,7,2
400180875234,2,20,1
400345056647,2,12,1
400102023398,2,31,1
400046388260,2,5,1
2202194,2,19,2
400060833894,2,21,4
410423604001,2,18,3
400220928603,2,17,3
5132710,2,4,2
400111536828,2,12,3
400096242995,2,20,3
400073226205,2,22,3
400068621038,2,26,1
400389789095,2,21,2
18322538,2,17,2
400061232753,2,21,2
400078770092,2,26,2
400183320715,2,16,6
15790121,2,17,2
410448318084,2,23,1
400168659952,2,18,2
400161063970,2,14,3
400288116444,2,35,2
400087602227,2,31,2
400317705829,2,10,1
400119888797,2,28,2
400001700173,2,15,2
400107378445,2,28,4
400116657228,2,19,2
400132356369,2,27,1
400243113734,2,8,2
400056516943,2,3,1
400224552766,2,11,1
26650204,2,21,3
400358217135,2,12,1
400195131271,2,19,2
400213737968,2,23,3
400247289261,2,18,1
400271826743,2,12,2
400215840854,2,22,1
400138050266,2,22,3
400172529348,2,21,3
400001218430,2,15,2
400368030723,2,12,3
400357623832,2,25,1
400634349970,2,23,1
400264314917,2,23,3
400042956748,2,13,3
400118283560,2,8,1
400189401475,2,27,2
400281804868,2,20,2
400249659800,2,10,1
400114752502,2,20,3
400049091588,2,24,3
410477124372,2,19,1
20469527,2,18,2
400219566020,2,17,3
400166961821,2,20,2
400201599227,2,19,1
400359261022,2,26,2
400059012038,2,9,2
400253052827,2,21,1
400148586598,2,32,1
400187484640,2,15,1
400032446326,2,19,2
400098744791,2,21,2
400326165284,2,16,3
400130556220,2,18,1
400080456867,2,30,2
400170705744,2,21,2
400171344041,2,13,4
400113648549,2,12,2
400218882830,2,28,1
17368542,2,25,2
400312395974,2,29,2
400640832136,2,22,2
410474634208,2,22,2
400387011318,2,26,1
400191240040,2,15,2
400237533397,2,31,2
400190454718,2,25,1
400062018266,2,13,3
400330245728,2,19,1
400105674776,2,23,1
400253979337,2,25,1
492419,2,3,1
400347834076,2,21,1
400188567377,2,24,2
400055061846,2,25,1
400203210815,2,15,3
400398042624,2,16,1
400235241664,2,28,2
400155141151,2,11,2
400089123569,2,26,2
400285275755,2,16,1
400379829019,2,15,3
400145733756,2,20,1
400073772793,2,12,1
400008246337,2,10,2
400004174278,2,19,1
400301979150,2,21,2
400024664064,2,17,1
410422827837,2,9,2
400013086159,2,16,2
400064421910,2,17,1
400004192515,2,14,1
400635186249,2,28,1
400033864001,2,30,3
400212537734,2,11,2
